シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク
2026-08-14,1812,鹿島建設,プライム,4937.0,1.42,0.71,-3.86,-8.58,0.52,177.1,4938.0,4966.0,4874.0,4966.0,4966.0,4794.0,4794.0,5052.33,4778.16,4778.16,16,S,21.67,17.05,-2.92,30.06,5400.24,5710.11,5925.6,-1.42σ,1.02,陰線→陽線 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,4671.34,5468.31,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/1812.T
2026-08-14,1802,大林組,プライム,3051.0,0.39,1.09,-3.54,-4.12,0.46,87.33,3062.0,3065.0,3025.0,3065.0,3065.0,2970.0,2970.0,3075.41,2977.32,2977.32,16,S,28.32,24.4,-7.05,37.54,3182.2,3287.15,3410.93,-1.25σ,1.0,陰線→陽線 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,2920.0,3313.0,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/1802.T
2026-08-14,9436,沖縄セルラー電話,スタンダード,4000.0,1.27,-2.91,-2.32,2.91,0.93,96.62,4095.0,4000.0,3910.0,4095.0,4120.0,3910.0,3685.0,3770.2,3624.9,3624.9,15,S,36.0,74.41,1.51,57.1,3886.8,3681.87,3294.08,+0.58σ,1.47,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,アンチ,1,0.0,3855.07,4289.86,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/9436.T
2026-08-14,7860,エイベックス,プライム,1242.0,1.39,-0.64,-1.82,-2.28,0.92,26.2,1230.0,1242.0,1218.0,1242.0,1250.0,1194.0,1194.0,1237.96,1201.72,1201.72,15,S,58.54,29.67,-16.51,46.75,1270.96,1217.63,1211.03,-0.89σ,1.05,強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,1194.0,1338.0,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/7860.T
2026-08-14,5463,丸一鋼管,プライム,1765.5,1.03,0.97,-4.39,-1.75,0.72,53.21,1764.0,1775.0,1736.5,1775.0,1775.0,1687.0,1687.0,1762.18,1729.98,1729.98,15,S,45.77,51.18,0.14,46.88,1796.86,1734.99,1562.15,-0.90σ,1.18,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,BB逆張り / アンチ,2,0.0,1685.68,1925.13,2.0,直近2～5日まで下落、BB -1σ以下から反発、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/5463.T
2026-08-14,5852,アーレスティ,プライム,674.0,0.75,0.75,-1.17,-3.64,0.61,16.48,673.0,677.0,667.0,677.0,677.0,660.0,655.0,674.37,655.5,655.5,15,S,44.19,31.22,2.21,40.84,699.48,726.11,788.66,-1.02σ,0.68,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,649.28,723.45,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/5852.T
2026-08-14,5408,中山製鋼所,プライム,638.0,1.59,1.75,-4.2,-0.31,0.74,14.83,636.0,639.0,628.0,639.0,639.0,618.0,613.0,629.08,615.02,615.02,15,S,38.46,52.1,-15.53,49.53,639.96,630.05,619.69,-0.37σ,1.29,陰線→陽線 / 強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,615.75,682.49,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/5408.T
2026-08-14,5105,ＴＯＹＯ　ＴＩＲＥ,プライム,3800.0,0.16,0.53,-9.5,-5.32,0.47,147.87,3815.0,3838.0,3768.0,3838.0,3858.0,3598.0,3598.0,3847.69,3660.08,3660.08,15,S,27.33,34.37,-21.03,42.76,4013.52,3849.33,4073.34,-1.25σ,0.55,陰線→陽線 / 強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,3578.2,4243.61,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/5105.T
2026-08-14,5574,ＡＢＥＪＡ,グロース,3030.0,7.64,4.7,6.2,18.63,1.51,161.37,2894.0,3045.0,2801.0,3045.0,3045.0,2720.0,2237.0,2394.43,2180.96,2180.96,15,除外,96.29,78.3,-3.76,67.4,2554.12,2418.92,2665.68,+1.98σ,1.35,強気包み足 / 2～5日下落後の陽線,なし,買い,底固め,1,0.0,2720.0,3650.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、出来高減少後の増加、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離）,https://finance.yahoo.co.jp/quote/5574.T
2026-08-14,9024,西武ホールディングス,プライム,3348.0,3.27,3.62,2.35,-4.19,0.83,150.71,3386.0,3382.0,3257.0,3386.0,3426.0,3211.0,3177.0,3321.27,3159.34,3159.34,15,S,68.67,31.66,-7.13,47.55,3494.28,3299.15,4080.55,-0.83σ,0.86,陰線→陽線 / はらみ足 / 2～5日下落後の陽線,なし,買い,BB逆張り / 底固め,2,0.0,3121.94,3800.13,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線、直近安値切り上げ、BB幅収縮、RSI安値切り上げ,,https://finance.yahoo.co.jp/quote/9024.T
