code,name,market,industry
2424,ブラス,スタンダード,サービス業
2425,ケアサービス,スタンダード,サービス業
2428,ウェルネット,スタンダード,サービス業
2429,ワールドホールディングス,プライム,サービス業
2432,ディー・エヌ・エー,プライム,情報・通信業
2433,博報堂ＤＹホールディングス,プライム,サービス業
2435,シダー,スタンダード,サービス業
2436,共同ピーアール,スタンダード,サービス業
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,スタンダード,サービス業
2438,アスカネット,グロース,サービス業
2440,ぐるなび,スタンダード,サービス業
2445,タカミヤ,スタンダード,サービス業
2449,プラップジャパン,スタンダード,サービス業
2454,オールアバウト,スタンダード,サービス業
2459,アウンコンサルティング,スタンダード,サービス業
2461,ファンコミュニケーションズ,プライム,サービス業
2462,ライク,プライム,サービス業
2464,Ａｏｂａ‐ＢＢＴ,スタンダード,サービス業
2469,ヒビノ,スタンダード,サービス業
2471,エスプール,プライム,サービス業
2475,ＷＤＢホールディングス,プライム,サービス業
2477,手間いらず,スタンダード,情報・通信業
2479,ジェイテック,スタンダード,サービス業
2480,システム・ロケーション,スタンダード,情報・通信業
2481,タウンニュース社,スタンダード,サービス業
2483,翻訳センター,スタンダード,サービス業
2484,出前館,スタンダード,情報・通信業
2485,ティア,スタンダード,サービス業
2488,ＪＴＰ,スタンダード,サービス業
2489,アドウェイズ,スタンダード,サービス業
2491,バリューコマース,プライム,サービス業
2492,インフォマート,プライム,サービス業
2493,イーサポートリンク,スタンダード,サービス業
2497,ユナイテッド,グロース,サービス業
2498,オリエンタルコンサルタンツホールディングス,スタンダード,サービス業
2499,日本和装ホールディングス,スタンダード,サービス業
2501,サッポロビール,プライム,食料品
2502,アサヒグループホールディングス,プライム,食料品
2503,キリンホールディングス,プライム,食料品
2531,宝ホールディングス,プライム,食料品
2533,オエノンホールディングス,プライム,食料品
2573,北海道コカ・コーラボトリング,スタンダード,食料品
2579,コカ・コーラ　ボトラーズジャパンホールディングス,プライム,食料品
2585,ライフドリンク　カンパニー,プライム,食料品
2586,フルッタフルッタ,グロース,食料品
2587,サントリービバレッジ＆フード,プライム,食料品
2588,プレミアムウォーターホールディングス,スタンダード,食料品
2590,ダイドーグループホールディングス,プライム,食料品
2593,伊藤園,プライム,食料品
2594,キーコーヒー,プライム,食料品
2597,ユニカフェ,スタンダード,食料品
2602,日清オイリオグループ,プライム,食料品
2607,不二製油,プライム,食料品
2612,かどや製油,スタンダード,食料品
2613,Ｊ－オイルミルズ,プライム,食料品
2652,まんだらけ,スタンダード,小売業
2653,イオン九州,スタンダード,小売業
2654,アスモ,スタンダード,小売業
2656,ベクターホールディングス,スタンダード,小売業
2659,サンエー,プライム,小売業
2664,カワチ薬品,プライム,小売業
2666,オートウェーブ,スタンダード,小売業
2667,イメージ　ワン,スタンダード,卸売業
2668,タビオ,スタンダード,卸売業
2669,カネ美食品,スタンダード,小売業
2670,エービーシー・マート,プライム,小売業
2673,夢みつけ隊,スタンダード,小売業
2674,ハードオフコーポレーション,プライム,小売業
2676,高千穂交易,プライム,卸売業
2678,アスクル,プライム,小売業
2681,ゲオホールディングス,プライム,小売業
2683,魚喜,スタンダード,小売業
2685,アンドエスティＨＤ,プライム,小売業
2687,シー・ヴイ・エス・ベイエリア,スタンダード,サービス業
2689,オルバヘルスケアホールディングス,スタンダード,卸売業
2693,ＹＫＴ,スタンダード,卸売業
2694,焼肉坂井ホールディングス,スタンダード,小売業
2695,くら寿司,プライム,小売業
