シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク,売残,買残,売残前週比,買残前週比,信用倍率,基準日,取得元URL,取得日時,テクニカルスコア,信用需給による減点,信用需給スコア,総合調整後スコア,テクニカル順位,調整後順位,信用需給判定,信用需給判定理由
2026-08-21,8841,テーオーシー,スタンダード,1084.0,1.88,2.75,11.52,13.88,0.8,36.37,1081.0,1092.0,1063.0,1092.0,1092.0,970.0,866.0,903.73,844.2,844.2,6,除外,93.66,80.82,2.5,74.02,951.88,978.08,912.34,+2.03σ,0.96,陰線→陽線 / 長い下ヒゲ（ハンマー）,強,買い,アンチ,1,0.0,970.0,1312.0,2.0,%K反転、%D方向改善、長い下ヒゲ反転、直近下落なし（B以下に制限） / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/8841.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,6.0,0,0,6.0,238,238,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,4674,クレスコ,プライム,2041.0,0.39,2.15,4.4,17.5,1.09,54.99,2069.0,2061.0,2001.0,2069.0,2069.0,1923.0,1533.0,1614.52,1444.14,1444.14,6,除外,88.38,92.54,4.7,87.66,1737.0,1582.53,1577.2,+1.50σ,1.29,陰線→陽線 / 前日安値割れ反転,通常,買い,アンチ,1,0.0,1923.0,2277.0,2.0,%K反転、%D方向改善、長い下ヒゲ反転、直近下落なし（B以下に制限） / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/4674.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,6.0,0,0,6.0,238,238,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,7593,ＶＴホールディングス,プライム,541.0,1.12,1.12,4.04,8.72,0.84,9.48,535.0,542.0,534.0,542.0,542.0,520.0,474.0,480.42,458.4,458.4,6,除外,96.77,79.75,26.23,79.54,497.6,467.05,500.53,+1.75σ,1.05,なし,なし,買い,底固め,1,0.0,520.0,583.0,2.0,%K反転、%D方向改善、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（高RSI）,https://finance.yahoo.co.jp/quote/7593.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,6.0,0,0,6.0,238,238,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,6027,弁護士ドットコム,プライム,4475.0,3.59,19.65,19.33,61.42,1.39,265.55,4535.0,4560.0,4190.0,4560.0,4560.0,3340.0,2169.0,2089.22,1293.65,1293.65,6,除外,95.29,87.61,5.72,80.23,2772.28,2508.8,2715.34,+2.00σ,1.4,陰線→陽線,通常,買い,アンチ,1,0.0,3340.0,6745.0,2.0,%K反転、%D方向改善、出来高増加を伴う反転、直近下落なし（B以下に制限） / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（3営業日急騰、5営業日急騰、25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/6027.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,6.0,0,0,6.0,238,238,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,7280,ミツバ,プライム,1346.0,0.82,3.22,7.17,11.36,0.92,39.12,1336.0,1354.0,1318.0,1354.0,1354.0,1252.0,1123.0,1161.2,1101.76,1101.76,6,除外,95.12,85.67,8.01,72.86,1208.68,1190.89,1173.3,+2.11σ,1.15,強気包み足,なし,買い,底固め,1,0.0,1252.0,1534.0,2.0,%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/7280.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,6.0,0,0,6.0,238,238,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,6058,ベクトル,プライム,1900.0,1.01,4.86,2.76,6.44,0.79,68.03,1881.0,1903.0,1849.0,1903.0,1903.0,1777.0,1714.0,1762.77,1720.3,1720.3,6,除外,98.41,65.73,5.64,61.62,1785.0,1615.44,1397.87,+2.23σ,0.78,強気包み足,なし,買い,底固め,1,0.0,1777.0,2146.0,2.0,%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、ATR低下、BB幅収縮、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/6058.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,6.0,0,0,6.0,238,238,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,2734,サーラコーポレーション,プライム,1232.0,0.33,0.16,2.75,5.42,0.71,22.68,1245.0,1239.0,1223.0,1245.0,1245.0,1200.0,1121.0,1139.82,1105.79,1105.79,6,除外,81.43,82.29,15.93,74.49,1168.64,1080.56,1090.14,+1.71σ,1.23,陰線→陽線 / はらみ足,通常,買い,底固め / アンチ,2,0.0,1197.98,1300.04,2.0,%K反転、%D方向改善、直近下落なし（B以下に制限）、直近安値切り上げ、出来高減少後の増加、RSI安値切り上げ / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（高RSI）,https://finance.yahoo.co.jp/quote/2734.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,6.0,0,0,6.0,238,238,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,6379,レイズネクスト,プライム,3180.0,2.09,5.82,8.5,14.2,0.95,94.73,3140.0,3195.0,3105.0,3195.0,3195.0,2901.0,2551.0,2689.65,2531.71,2531.71,6,除外,95.76,68.82,14.11,80.69,2784.56,2452.23,2400.85,+2.10σ,1.02,なし,なし,買い,底固め,1,0.0,2901.0,3738.0,2.0,%K反転、%D方向改善、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/6379.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,6.0,0,0,6.0,238,238,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,9504,中国電力,プライム,987.0,1.87,4.04,5.92,5.63,1.15,18.96,975.9,987.0,965.2,987.0,987.0,927.1,876.7,911.63,889.31,889.31,6,除外,100.0,82.2,15.97,73.07,934.42,907.49,957.0,+2.38σ,1.28,なし,通常,買い,底固め / アンチ,2,0.0,927.1,1106.8,2.0,%K反転、%D方向改善、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/9504.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,6.0,0,0,6.0,238,238,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,6349,小森コーポレーション,プライム,2024.0,1.96,4.65,5.64,11.02,1.35,46.07,1985.0,2031.0,1969.0,2031.0,2031.0,1896.0,1640.0,1761.23,1652.97,1652.97,6,除外,94.81,74.87,2.29,81.51,1823.04,1613.43,1603.52,+1.43σ,0.93,強気包み足,なし,買い,底固め,1,0.0,1896.0,2280.0,2.0,%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/6349.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,6.0,0,0,6.0,238,238,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
