acquired_at,code,source,document_id,source_reference,status,reason
2026-08-14T17:41:25.813592+00:00,7794,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7966,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5201,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5889,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7746,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8103,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6923,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6858,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3103,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9042,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8739,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2986,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3101,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6855,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6890,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6958,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3445,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3810,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3853,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6324,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8338,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4099,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8316,EDINET,,,failure,EDINET_API_KEY未設定
