シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク
2026-08-14,9936,王将フードサービス,プライム,2873.0,-0.66,-0.55,-0.14,-2.24,0.51,14,S,43.48,26.51,-10.1,45.07,2938.8,2836.21,3052.2,-0.97σ,0.81,陽線→陰線 / 長い上ヒゲ,通常,売り,,,,2950.07,2718.86,2.0,%D方向一致、%K押し・戻りから反転、200日線方向一致、MA25傾き一致、MA75傾き一致、RSIゾーン反転、ローソク色反転、長いヒゲ,,https://finance.yahoo.co.jp/quote/9936.T
2026-08-14,3905,データセクション,グロース,1891.0,0.75,6.36,-0.99,-17.87,0.41,14,S,24.86,32.29,4.43,34.53,2302.52,3272.97,2399.11,-0.99σ,1.51,なし,通常,買い,,,,1542.21,2588.59,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善,,https://finance.yahoo.co.jp/quote/3905.T
2026-08-14,8001,伊藤忠商事,プライム,2070.5,-0.36,-0.96,1.79,4.32,0.97,14,S,72.81,70.27,-3.11,65.34,1984.82,1935.27,1962.8,+1.15σ,0.5,長い上ヒゲ,通常,売り,,,,2139.6,1932.31,2.0,%D方向一致、%K押し・戻りから反転、RSI強反転、RSIゾーン反転、BB±1σ反転、長いヒゲ,,https://finance.yahoo.co.jp/quote/8001.T
2026-08-14,8802,三菱地所,プライム,3673.0,-0.76,-1.18,-4.35,-7.87,0.53,14,S,12.45,15.74,-5.65,35.57,3986.84,4096.32,4109.41,-1.33σ,0.75,長い上ヒゲ,強,売り,,,,3905.0,3209.0,2.0,%D方向一致、%K押し・戻りから反転、%Kが%Dをクロス、200日線方向一致、MA25傾き一致、MA75傾き一致、長いヒゲ,,https://finance.yahoo.co.jp/quote/8802.T
2026-08-14,8934,サンフロンティア不動産,プライム,2459.0,-1.28,-0.41,0.45,-1.51,0.89,14,S,65.67,39.83,-0.74,47.78,2496.64,2447.36,2486.25,-0.77σ,0.69,陽線→陰線 / 長い上ヒゲ / 前日高値超え反転,通常,売り,,,,2536.27,2304.46,2.0,%D方向一致、%K押し・戻りから反転、200日線方向一致、MA25傾き一致、MA75傾き一致、RSIゾーン反転、ローソク色反転、長いヒゲ,,https://finance.yahoo.co.jp/quote/8934.T
2026-08-14,9069,センコーグループホールディングス,プライム,2293.0,-0.15,1.37,3.5,4.51,0.77,14,S,55.58,55.4,-3.45,71.55,2194.08,2014.06,1961.99,+1.80σ,0.55,はらみ足,通常,売り,,,,2378.5,2122.0,2.0,%D方向一致、%K押し・戻りから反転、RSI強反転、BB±2σ反転、BB±1σ反転,,https://finance.yahoo.co.jp/quote/9069.T
2026-08-14,5975,東プレ,プライム,3235.0,-0.31,0.31,8.78,15.46,0.6,14,S,71.62,67.73,-6.2,74.63,2801.72,2672.0,2540.14,+1.86σ,0.56,はらみ足,通常,売り,,,,3430.0,2845.0,2.0,%D方向一致、%K押し・戻りから反転、RSI強反転、BB±2σ反転、BB±1σ反転,,https://finance.yahoo.co.jp/quote/5975.T
2026-08-14,9436,沖縄セルラー電話,スタンダード,3975.0,0.63,-3.52,-2.93,2.3,0.93,13,S,26.0,73.41,0.51,55.54,3885.8,3681.53,3293.95,+0.42σ,1.21,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,,,,3830.07,4264.86,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/9436.T
2026-08-14,2379,ディップ,プライム,1862.0,-0.32,0.76,2.25,1.36,0.42,13,S,81.25,48.3,-2.09,56.32,1836.96,1793.35,1976.06,+0.76σ,0.64,陽線→陰線 / 前日高値超え反転,通常,売り,,,,1911.96,1762.08,2.0,%D方向一致、%K押し・戻りから反転、200日線方向一致、MA25傾き一致、RSIゾーン反転、BB±1σ反転、ローソク色反転,,https://finance.yahoo.co.jp/quote/2379.T
2026-08-14,6145,ＮＩＴＴＯＫＵ,スタンダード,2427.0,0.87,4.79,-13.38,-7.71,0.29,13,S,25.99,56.14,0.52,39.83,2629.72,2835.69,2550.06,-1.16σ,0.57,なし,通常,買い,,,,2232.52,2815.95,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転,,https://finance.yahoo.co.jp/quote/6145.T
