シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク
2026-08-14,4419,Ｆｉｎａｔｅｘｔホールディングス,グロース,1394.0,9.85,-13.04,-12.22,-11.33,0.77,108.82,1374.0,1395.0,1311.0,1395.0,1669.0,1252.0,1252.0,1469.87,1376.19,1376.19,10,除外,33.65,57.63,-3.8,43.35,1572.08,1367.77,1128.01,-1.81σ,3.54,陰線→陽線,なし,買い,BB逆張り,1,0.0,1230.77,1720.45,2.0,RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、出来高増加を伴う反転、直近下落なし（B以下に制限）,急騰済み（当日急騰）,https://finance.yahoo.co.jp/quote/4419.T
2026-08-14,3660,アイスタイル,プライム,517.0,18.31,17.23,18.85,20.85,0.36,16.74,444.0,517.0,511.0,517.0,517.0,431.0,396.0,410.38,387.56,387.56,10,除外,100.0,66.06,2.02,80.62,427.8,404.67,437.08,+3.67σ,3.84,陰線→陽線 / 長い下ヒゲ（ハンマー）,強,買い,底固め / アンチ,2,0.0,431.0,689.0,2.0,%K反転、%D方向改善、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（当日急騰、3営業日急騰、5営業日急騰、25日線上方乖離、高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/3660.T
2026-08-14,4022,ラサ工業,プライム,2370.0,9.17,5.33,6.33,20.03,1.16,162.66,2265.0,2408.0,2220.0,2408.0,2408.0,2100.0,1550.0,1762.4,1531.85,1531.85,10,除外,88.79,82.67,18.76,61.62,1974.52,2073.93,1676.54,+1.64σ,1.12,陰線→陽線 / 2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,2100.0,2910.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、2～5日下落後の陽線、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（当日急騰、25日線上方乖離）,https://finance.yahoo.co.jp/quote/4022.T
2026-08-14,3036,アルコニックス,プライム,3755.0,4.45,3.16,6.07,33.0,1.53,137.5,3670.0,3785.0,3575.0,3785.0,3785.0,3460.0,2403.0,2429.41,1950.97,1950.97,9,除外,97.25,89.37,11.87,85.05,2823.28,2587.01,2600.42,+1.77σ,1.07,陰線→陽線 / 強気包み足,通常,買い,底固め / アンチ,2,0.0,3460.0,4345.0,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/3036.T
2026-08-14,2220,亀田製菓,プライム,1345.0,2.28,4.1,5.57,6.13,1.09,32.25,1318.0,1345.0,1310.0,1345.0,1345.0,1263.0,1208.0,1232.37,1198.28,1198.28,9,除外,100.0,65.8,6.42,66.28,1267.32,1267.35,1325.96,+2.30σ,1.09,強気包み足,通常,買い,底固め / アンチ,2,0.0,1263.0,1509.0,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/2220.T
2026-08-14,3284,フージャースホールディングス,プライム,1296.0,1.33,3.02,6.23,4.39,1.32,20.38,1285.0,1298.0,1271.0,1298.0,1298.0,1215.0,1209.0,1220.69,1198.03,1198.03,9,除外,97.67,43.13,2.44,70.06,1241.44,1198.6,1255.04,+2.32σ,1.19,強気包み足,なし,買い,底固め,1,0.0,1215.0,1458.0,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/3284.T
2026-08-14,3443,川田テクノロジーズ,プライム,1393.0,1.53,3.03,5.29,5.97,1.04,37.6,1380.0,1409.0,1370.0,1409.0,1409.0,1310.0,1250.0,1282.12,1252.03,1252.03,9,除外,85.71,70.17,6.37,65.07,1314.56,1311.93,1455.74,+2.69σ,1.04,強気包み足,なし,買い,底固め,1,0.0,1310.0,1559.0,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/3443.T
2026-08-14,2734,サーラコーポレーション,プライム,1199.0,0.76,3.1,4.9,4.09,0.62,24.06,1196.0,1205.0,1190.0,1205.0,1205.0,1147.0,1120.0,1137.58,1120.72,1120.72,9,除外,92.86,58.77,5.97,69.19,1151.92,1068.23,1086.92,+2.64σ,0.96,強気包み足,なし,買い,底固め,1,0.0,1147.0,1303.0,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/2734.T
2026-08-14,4246,ダイキョーニシカワ,プライム,1127.0,1.44,2.45,7.74,9.23,0.98,24.56,1111.0,1128.0,1104.0,1128.0,1128.0,1032.0,979.0,999.93,959.86,959.86,9,除外,99.0,74.26,1.6,78.04,1031.8,1007.47,890.54,+2.17σ,0.77,強気包み足,なし,買い,底固め,1,0.0,1032.0,1317.0,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（高RSI）,https://finance.yahoo.co.jp/quote/4246.T
2026-08-14,7609,ダイトロン,プライム,4770.0,4.03,6.35,13.17,27.96,1.34,220.33,4680.0,4835.0,4540.0,4835.0,4835.0,4040.0,3030.0,3262.01,2726.76,2726.76,9,除外,91.82,88.02,23.19,74.82,3727.8,3639.71,2979.82,+1.82σ,0.84,強気包み足,通常,買い,底固め / アンチ,2,0.0,4040.0,6230.0,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/7609.T
