シグナル日,コード,注文方式,約定,約定価格,1日後損益,3日後損益,5日後損益,10日後損益,MFE,MAE,未約定後最大上昇率,未約定後最大下落率
2026-08-14,8508,market,True,897.0,2.006688963210701,,,,6.35451505016722,-1.7837235228539527,,
2026-08-14,8508,limit,True,893.0,2.4636058230683044,,,,6.830907054871216,-1.3437849944008984,,
2026-08-14,8508,stop,True,897.0,2.006688963210701,,,,6.35451505016722,-1.7837235228539527,,
2026-08-14,3046,market,True,6660.0,-3.3033033033033066,,,,0.0,-6.156156156156156,,
2026-08-14,3046,limit,True,6630.0,-2.865761689291102,,,,0.4524886877828038,-5.731523378582204,,
2026-08-14,3046,stop,True,6660.0,-3.3033033033033066,,,,0.0,-6.156156156156156,,
2026-08-14,6364,market,True,2565.0,-0.27290448343080254,,,,1.2475633528265195,-2.066276803118905,,
2026-08-14,6364,limit,True,2554.0,0.1566170712607784,,,,1.6836335160532512,-1.6444792482380621,,
2026-08-14,6364,stop,True,2565.0,-0.27290448343080254,,,,1.2475633528265195,-2.066276803118905,,
2026-08-14,5911,market,True,2957.0,0.0676361176868534,,,,1.3865404125803282,0.0,,
2026-08-14,5911,limit,False,,,,,,,,1.9381162869772206,0.5440326419585251
2026-08-14,5911,stop,True,2957.0,0.0676361176868534,,,,1.3865404125803282,0.0,,
2026-08-14,5989,market,True,1500.0,3.4666666666666623,,,,4.600000000000004,-0.6000000000000005,,
2026-08-14,5989,limit,True,1500.0,3.4666666666666623,,,,4.600000000000004,-0.6000000000000005,,
2026-08-14,5989,stop,True,1508.01,2.9170894092214184,,,,4.044402888575016,-1.1279766049296702,,
2026-08-14,7616,market,True,2031.5,-1.3044548363278397,,,,0.29534826482895404,-2.4858478956436114,,
2026-08-14,7616,limit,True,2031.5,-1.3044548363278397,,,,0.29534826482895404,-2.4858478956436114,,
2026-08-14,7616,stop,False,,,,,,,,-1.2839147286821673,-4.02131782945736
2026-08-14,7575,market,True,1536.0,-1.3671875,,,,0.13020833333332593,-2.604166666666663,,
2026-08-14,7575,limit,True,1530.0,-0.9803921568627416,,,,0.5228758169934622,-2.2222222222222254,,
2026-08-14,7575,stop,True,1536.0,-1.3671875,,,,0.13020833333332593,-2.604166666666663,,
2026-08-14,7256,market,True,462.0,0.21645021645022577,,,,9.090909090909083,-2.164502164502169,,
2026-08-14,7256,limit,True,462.0,0.21645021645022577,,,,9.090909090909083,-2.164502164502169,,
2026-08-14,7256,stop,True,471.942,-1.8947243517211887,,,,6.792783859033524,-4.225519237533426,,
2026-08-14,4681,market,True,1843.5,-1.6002169785733655,,,,0.32546786004881145,-2.929210740439381,,
2026-08-14,4681,limit,True,1838.5,-1.332608104432964,,,,0.5983138428066415,-2.665216208865928,,
2026-08-14,4681,stop,True,1843.5,-1.6002169785733655,,,,0.32546786004881145,-2.929210740439381,,
2026-08-14,4452,market,True,3554.0,-1.7163759144625756,,,,0.0,-2.58863252673045,,
2026-08-14,4452,limit,True,3541.0,-1.355549279864443,,,,0.3671279299632957,-2.231008189776895,,
2026-08-14,4452,stop,True,3554.0,-1.7163759144625756,,,,0.0,-2.58863252673045,,
2026-08-14,4765,market,True,615.0,0.1626016260162677,,,,1.4634146341463428,-0.3252032520325243,,
2026-08-14,4765,limit,True,615.0,0.1626016260162677,,,,1.4634146341463428,-0.3252032520325243,,
2026-08-14,4765,stop,True,616.23,-0.03732372653068028,,,,1.2608928484494353,-0.524154942148225,,
2026-08-14,9746,market,True,3955.0,0.0,,,,1.5170670037926604,-0.7585335018963302,,
2026-08-14,9746,limit,True,3955.0,0.0,,,,1.5170670037926604,-0.7585335018963302,,
2026-08-14,9746,stop,True,3982.95,-0.7017411717445521,,,,0.8046799482795519,-1.454951731756604,,
2026-08-14,5216,market,True,152.0,1.3157894736842035,,,,1.9736842105263053,-0.6578947368421018,,
2026-08-14,5216,limit,True,152.0,1.3157894736842035,,,,1.9736842105263053,-0.6578947368421018,,
2026-08-14,5216,stop,True,153.306,0.4526893924569064,,,,1.1049795833170117,-1.5041811801234206,,
2026-08-14,1951,market,True,2659.5,0.018800526414741725,,,,0.9024252679074918,-1.598044745252869,,
2026-08-14,1951,limit,True,2630.0,-0.47528517110265733,,,,1.2737642585551434,-0.4942965779467734,,
2026-08-14,1951,stop,True,2659.5,0.018800526414741725,,,,0.9024252679074918,-1.598044745252869,,
2026-08-14,9003,market,True,2527.0,0.2176493866244522,,,,1.7609814008705982,-1.1476058567471359,,
2026-08-14,9003,limit,True,2518.0,0.575853852263708,,,,2.1247021445591763,-0.7942811755361379,,
2026-08-14,9003,stop,True,2527.0,0.2176493866244522,,,,1.7609814008705982,-1.1476058567471359,,
2026-08-14,9303,market,True,4090.0,-0.9779951100244544,,,,1.1002444987775029,-2.0782396088019572,,
2026-08-14,9303,limit,True,4080.0,-0.7352941176470562,,,,1.3480392156862697,-1.8382352941176516,,
2026-08-14,9303,stop,True,4090.0,-0.9779951100244544,,,,1.1002444987775029,-2.0782396088019572,,
2026-08-14,7780,market,True,2000.0,-2.1499999999999964,,,,0.44999999999999485,-2.2499999999999964,,
2026-08-14,7780,limit,True,1970.0,-0.6598984771573613,,,,1.9796954314720727,-0.761421319796951,,
2026-08-14,7780,stop,True,2000.0,-2.1499999999999964,,,,0.44999999999999485,-2.2499999999999964,,
2026-08-14,8133,market,True,2142.0,-0.1400560224089631,,,,2.7077497665732864,-0.23342670401493848,,
2026-08-14,8133,limit,True,2140.0,-0.04672897196261738,,,,2.8037383177569986,-0.14018691588785215,,
2026-08-14,8133,stop,True,2144.28,-0.24623649896469146,,,,2.5985412352864223,-0.3395079000876877,,
2026-08-14,8267,market,True,1388.5,-1.8725243068059005,,,,0.0,-4.105149441843714,,
2026-08-14,8267,limit,True,1378.5,-1.1606819006166114,,,,0.7254261878853807,-3.409503083061294,,
2026-08-14,8267,stop,True,1388.5,-1.8725243068059005,,,,0.0,-4.105149441843714,,
2026-08-14,7818,market,True,1203.0,-0.41562759767248547,,,,0.9143807148794592,-1.8287614297589405,,
2026-08-14,7818,limit,True,1202.0,-0.33277870216306127,,,,0.9983361064891838,-1.7470881863560717,,
2026-08-14,7818,stop,True,1204.404,-0.5317152716198259,,,,0.7967426212466933,-1.9432017827904935,,
2026-08-14,3289,market,True,1326.0,-0.6410256410256387,,,,0.07541478129713397,-0.9426847662141746,,
2026-08-14,3289,limit,True,1318.5,-0.07584376185059138,,,,0.6446719757299935,-0.3792188092529347,,
2026-08-14,3289,stop,True,1326.0,-0.6410256410256387,,,,0.07541478129713397,-0.9426847662141746,,
2026-08-14,3167,market,True,1234.0,0.0,,,,1.7828200972447306,-0.08103727714748876,,
2026-08-14,3167,limit,True,1234.0,0.0,,,,1.7828200972447306,-0.08103727714748876,,
2026-08-14,3167,stop,True,1236.468,-0.1996007984031989,,,,1.5796607756933367,-0.280476324498502,,
2026-08-14,7760,market,True,2115.0,3.687943262411353,,,,4.917257683215137,-1.6075650118203333,,
2026-08-14,7760,limit,True,2115.0,3.687943262411353,,,,4.917257683215137,-1.6075650118203333,,
2026-08-14,7760,stop,True,2119.23,3.480981299811714,,,,4.7078419992167,-1.8039570976250863,,
2026-08-14,4927,market,True,1408.0,-2.1661931818181768,,,,0.0,-2.9829545454545414,,
2026-08-14,4927,limit,True,1408.0,-2.1661931818181768,,,,0.0,-2.9829545454545414,,
2026-08-14,4927,stop,False,,,,,,,,-0.35385704175513455,-3.3262561924982337
2026-08-14,5233,market,True,4250.0,-1.15294117647059,,,,2.4235294117647133,-2.2352941176470575,,
2026-08-14,5233,limit,True,4201.0,0.0,,,,3.6181861461556775,-1.094977386336582,,
2026-08-14,5233,stop,True,4250.0,-1.15294117647059,,,,2.4235294117647133,-2.2352941176470575,,
2026-08-14,6305,market,True,5560.0,-3.0575539568345356,,,,0.5575539568345222,-3.0575539568345356,,
2026-08-14,6305,limit,True,5538.0,-2.6724449259660554,,,,0.9570241964608206,-2.6724449259660554,,
