シグナル日,コード,ランク,買い・売り,RSI14,出来高倍率,BB位置,ローソク足パターン,シグナル種別,1日後終値,2日後終値,3日後終値,5日後終値,10日後終値,20日後終値,1日後騰落率,2日後騰落率,3日後騰落率,5日後騰落率,10日後騰落率,20日後騰落率,期間中最高値,期間中最安値,最大上昇率,最大下落率,利確到達,損切り到達,5日損益率
2026-08-14,4204,B,買い,57.36,0.82,+0.49σ,陰線→陽線 / 強気包み足,底固め,2652.5,2656.0,2585.5,,,,-1.5221830332281416,-1.392240579172077,-4.009652868015589,,,,2686.5,2577.0,-0.25988490811211795,-4.3252273992945955,False,True,
2026-08-14,4071,B,買い,41.68,2.12,-0.90σ,なし,BB逆張り,2206.0,2193.0,2210.0,,,,-0.8093525179856065,-1.3938848920863278,-0.6294964028776939,,,,2224.0,2160.0,0.0,-2.877697841726623,False,False,
2026-08-14,4848,除外,買い,74.33,0.89,+2.06σ,強気包み足,底固め,1844.0,1832.0,1863.0,,,,-0.6465517241379337,-1.2931034482758674,0.37715517241379004,,,,1878.0,1820.0,1.18534482758621,-1.93965517241379,False,False,
2026-08-14,4828,除外,買い,78.1,0.62,+2.34σ,陰線→陽線 / 強気包み足,底固め,1348.0,1377.0,1419.0,,,,-2.389572773352644,-0.2896451846488013,2.7516292541636567,,,,1428.0,1345.0,3.4033309196234596,-2.606806661839245,False,False,
2026-08-14,4620,B,買い,56.3,1.07,+1.50σ,強気包み足,底固め,962.0,969.0,930.0,,,,-2.0366598778004064,-1.3238289205702691,-5.295315682281054,,,,990.0,922.0,0.8146639511201537,-6.109979633401219,False,False,
2026-08-14,4540,B,買い,45.14,0.84,-0.94σ,陰線→陽線 / はらみ足 / 2～5日下落後の陽線,BB逆張り,3720.0,3740.0,3721.0,,,,-0.8528784648187626,-0.31982942430703876,-0.8262260127931742,,,,3771.0,3703.0,0.5063965884861465,-1.3059701492537323,False,False,
2026-08-14,4973,B,買い,53.13,0.45,+0.88σ,強気包み足,底固め / アンチ,4880.0,4855.0,4580.0,,,,-0.2044989775051076,-0.7157464212678932,-6.33946830265849,,,,4930.0,4560.0,0.8179959100204526,-6.748466257668717,False,False,
2026-08-14,5076,B,買い,62.08,1.07,+1.24σ,強気包み足,底固め,2820.5,2785.5,2651.5,,,,-0.6166314305849241,-1.8498942917547612,-6.571529245947849,,,,2868.0,2651.5,1.0570824524312794,-6.571529245947849,False,False,
2026-08-14,5101,B,買い,56.51,0.75,+1.54σ,陰線→陽線 / 2～5日下落後の陽線,底固め,7660.0,7647.0,7278.0,,,,-2.420382165605095,-2.585987261146494,-7.286624203821656,,,,7866.0,7261.0,0.20382165605095093,-7.5031847133757985,False,True,
2026-08-14,5410,B,買い,69.64,0.65,+1.55σ,陰線→陽線 / 強気包み足,底固め,2942.0,3005.0,3015.0,,,,-0.7757166947723437,1.3490725126475533,1.6863406408094361,,,,3020.0,2923.0,1.8549747048903775,-1.4165261382799277,False,False,
